created	updated	index_name	status	message	total	count	limit	offset	fields__name	fields__type	records__id	records__country	records__state	records__city	records__station	records__last_update	records__pollutant_id	records__pollutant_min	records__pollutant_max	records__pollutant_avg	records__pollutant_unit	version
											181	India	Delhi	Delhi	"R K Puram, New Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											182	India	Delhi	Delhi	"R K Puram, New Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											183	India	Delhi	Delhi	"R K Puram, New Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											184	India	Delhi	Delhi	"R K Puram, New Delhi - DPCC"	23-04-2018 05:00:00	CO	48	102	89		
											185	India	Delhi	Delhi	"R K Puram, New Delhi - DPCC"	23-04-2018 05:00:00	OZONE	9	147	132		
											186	India	Delhi	Delhi	"Rohini, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											187	India	Delhi	Delhi	"Rohini, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											188	India	Delhi	Delhi	"Rohini, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											189	India	Delhi	Delhi	"Rohini, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											190	India	Delhi	Delhi	"Rohini, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											191	India	Delhi	Delhi	"Rohini, Delhi - DPCC"	23-04-2018 05:00:00	CO	15	48	19		
											192	India	Delhi	Delhi	"Rohini, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	46	152	136		
											193	India	Delhi	Delhi	"Shadipur, New Delhi - CPCB"	23-04-2018 05:00:00	PM2.5	62	205	108		
											194	India	Delhi	Delhi	"Shadipur, New Delhi - CPCB"	23-04-2018 05:00:00	NO2	22	110	48		
											195	India	Delhi	Delhi	"Shadipur, New Delhi - CPCB"	23-04-2018 05:00:00	SO2	7	38	22		
											196	India	Delhi	Delhi	"Shadipur, New Delhi - CPCB"	23-04-2018 05:00:00	CO	10	61	26		
											197	India	Delhi	Delhi	"Shadipur, New Delhi - CPCB"	23-04-2018 05:00:00	OZONE	2	85	72		
											198	India	Delhi	Delhi	"Sirifort, New Delhi - CPCB"	23-04-2018 05:00:00	PM2.5	38	270	97		
											199	India	Delhi	Delhi	"Sirifort, New Delhi - CPCB"	23-04-2018 05:00:00	PM10	148	287	200		
											200	India	Delhi	Delhi	"Sirifort, New Delhi - CPCB"	23-04-2018 05:00:00	NO2	10	11	11		
											201	India	Delhi	Delhi	"Sirifort, New Delhi - CPCB"	23-04-2018 05:00:00	NH3	2	3	2		
											202	India	Delhi	Delhi	"Sirifort, New Delhi - CPCB"	23-04-2018 05:00:00	OZONE	4	129	99		
											203	India	Delhi	Delhi	"Sonia Vihar, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											204	India	Delhi	Delhi	"Sonia Vihar, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
